uwi,long,lat,lease,operator,fake_number
1,-95.4887397,31.6281865,HUDDLESTON,BROWNING LANDON,77
2,-95.4656533,31.7877842,LASITER J,ROCK BOTTOM OIL GP LLC,22
3,-95.5127863,31.6241696,DOE-CO,WILSON DON H INCORPORATED,70
4,-95.5451583,32.0616778,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,78
5,-95.5449278,32.0552056,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,11
6,-95.2887508,31.5923743,TEMPLE-INLAND,WEATHERLY OIL & GAS COMPANY LLC,41
7,-95.558025,32.0638833,FAIRWAY JAMES LIME UNIT,VANGUARD OPERATING LLC,73
8,-95.304299,31.59247,SPELLINGS GAS UNIT,WEATHERLY OIL & GAS COMPANY LLC,49
9,-95.5973621,31.9691826,HERRINGTON,JAMEX INCORPORATED,61
10,-95.53852,31.58636,LASSITER W H,CHESTNUT EXPLORATION & PROD INC,45
11,-95.7523833,31.9526028,HEMBY FAMILY TRUST,TRI-C RESOURCES LLC,94
12,-95.52539,31.59316,BEELER,CHESTNUT EXPLORATION & PROD INC,20
13,-95.786475,32.0368861,NEWLAND JA,OBENCO INCORPORATED,21
14,-95.6880306,32.0053306,SUPERIOR UNIT,OBENCO INCORPORATED,15
15,-95.7483889,32.00085,WOLF CREEK UNIT,OBENCO INCORPORATED,80
16,-95.7484361,32.0009083,GLAD OAKS UNIT,OBENCO INCORPORATED,59
17,-102.5549079,32.2059605,UNIVERSITY 9 AB,XTO ENERGY INCORPORATED,59
18,-102.5549079,32.2059605,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,86
19,-102.55255,32.1986361,UNIVERSITY `9` AA,XTO ENERGY INCORPORATED,29
20,-102.55255,32.1986361,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,8
21,-102.7273728,32.4034428,UNIVERSITY YZ,OXY USA WTP LP,26
22,-102.4646361,32.2256306,UNIVERSITY `F`,ELEVATION RESOURCES LLC,32
23,-102.5767986,32.1927862,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,64
24,-102.58585,32.1911944,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,77
25,-102.6034416,32.3386022,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
26,-102.773121,32.4603065,FULLERTON CLEARFORK UNIT,XTO ENERGY INCORPORATED,36
27,-102.5677592,32.2092551,UNIVERSITY `9-A`,XTO ENERGY INCORPORATED,16
28,-102.5677592,32.2092551,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,45
29,-102.5745,32.20176,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
30,-102.5780389,32.1964139,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
31,-102.5740996,32.1862512,UNIVERSITY 9 D,XTO ENERGY INCORPORATED,95
32,-102.5689153,32.3957719,WEST MEANS (GRAYBURG-SAN ANDRES) UNIT,THOMPSON J CLEO,91
33,-102.5594821,32.2074152,TEXAS L,XTO ENERGY INCORPORATED,31
34,-102.5669908,32.1956236,UNIVERSITY BLOCK 9 WOLFCAMP UNIT,XTO ENERGY INCORPORATED,74
